review_id,game,review_text,annotator_A,annotator_B,annotator_C,annotator_D,human_label
1551360_222174467,Forza Horizon 5,"Really enjoying Forza Horizon 5 so far. The graphics are beautiful, driving feels smooth, and there’s a huge variety of cars and events to keep things fun. It can feel a bit overwhelming at first, but overall it’s a great racing game. Definitely recommend.","graphics;
controls",graphics; controls,graphics; controls,graphics; combat,graphics; controls
413150_220615640,Stardew Valley,"Stardew Valley is easily the best ""cozy game"" I've ever played. The gameplay loop is enjoyable and I'm not afraid to admit that I've pulled a lottt of all-nighters playing the game. I really love some of the NPC's you can interact with (I HAVE to befriend Willy every run, it's a must), and I have a lot of fun trying to plan stuff season-per-season. I haven't played the game in a long while now, but I'm still writing a review because I feel like it deserves it.",story,story,other,combat,story
413150_220421137,Stardew Valley,"Have this game on Switch and PC. Love it!!!!! Music, pacing and gameplay is awesome. Just a very cozy farming game that reminds me the time I played Harvest Moon.","controls:
other",story; graphics,other,other,other
413150_219666672,Stardew Valley,"I love this game so much. It has hours and hours of gameplay and things to discover. And it can adapt to many playstyles. Personally, I like the farming and building relationships aspects of the game, but for others there is exploration and fighting available too. Its very intuitive and cute and I recommend it for everyone to play!!",story,combat; story,combat; other,combat; story,story; combat
413150_218599745,Stardew Valley,i love it even tho i play it with mods but i love it and most the things about it and the story,story,story,story; other,story,story
1237970_216424787,Titanfall 2,"When a game achieves this level of reactivity and addictiveness, it will never be dead or boring. I love the story, the gameplay, the script, and BT-7274. Well worth the price and would buy again in a heartbeat! ♥♥♥","controls;
story;
price",story,story; controls; price,story; combat; price,"story, price, controls"
1551360_223780862,Forza Horizon 5,"beautiful game and very fun to play, i have very decent fps on my pc and never had any issues",other,graphics,graphics; other,graphics,graphics; other
413150_224447631,Stardew Valley,"A beautiful, imaginative game for calm people. It's literally a game you can spend hours playing without even realizing how old you are. If you love farming games and peaceful atmospheres, trust me, you won't regret it. It's a fantastic game with a beautiful world.",graphics,other,graphics; other,graphics; other,graphics; other
1245620_217820234,Elden Ring,The best game in history. It deserves the score it got. Don't hesitate to play this masterpiece. It's something you'll rarely see in the art of video games. Don't get tired of Miyazaki and the creative team.,other,other,other,other,other
413150_219544210,Stardew Valley,"Cozy game at its finest, a must own on mutiple devices kind of thing, and mods make it every more expansive and never ending.",other,other,other,other,other
1245620_219280294,Elden Ring,"Elden Ring is one of those games that was elevated to fame even before its release. From Software, creators of the Dark Souls series, the game was billed as an extension of the familiar open-world formula. However, the end result is more complex. It's a game with many great ideas, but also with distinct design issues that often impact gameplay. Character Development System: One of the game's greatest strengths is the sheer variety of builds. Players can develop their characters in many ways, from the classic warrior with heavy weapons, through quick, arcade-based builds, to powerful magic-based characters. The development system offers significant freedom and encourages experimentation. However, the problem arises during gameplay. Quite often, a build that previously worked very well suddenly ceases to be effective. At some point, we hit a wall, and enemies or bosses become significantly more difficult for a given playstyle. As a result, instead of developing a character according to their own vision, the player begins to adapt to the demands of specific battles. Visuals and Game World: From an artistic perspective, the game looks excellent. The world is vast, diverse, and full of distinctive locations, and each region has its own unique atmosphere and visual identity. The world's history, co-created by George R. R. Martin, is also noteworthy. The lore is engaging and intriguing, though much of the plot remains hidden within item descriptions and dialogue fragments. For some, this is a key element in the world's mystery, while for others, it's a barrier to understanding the story. Camera Issues: The game's biggest flaw is the camera. This is where most frustrating situations arise. During combat, you can lock the camera onto a target. In theory, this is supposed to aid in tracking the opponent, but in practice, it often leads to chaos. The camera can get lost, suddenly change position, or be positioned at an awkward angle. As a result, the player cannot see enemy attacks, nor even their own character. The problem is particularly acute with large enemies. The camera can then position itself so close to the boss model that it's difficult to assess the situation on screen. Attempting to play without target lock also doesn't solve the problem, as the camera can still move on its own and doesn't always stay where the player intended it to be. In practice, this means that some deaths aren't due to player error or combat difficulty, but rather to technical and design issues. Repetitive Enemy and Boss Characters: Another drawback is the enemy design and the repetitive nature of many fights. In many places, the copy-and-paste method is evident. A boss, who we previously fought in a spectacular fight, later reappears as a regular enemy in a different location. This weakens the sense of uniqueness of the encounters and makes some moments less impactful. Battles can be spectacular, but that doesn't always mean they're well-designed. Some encounters feel heavily scripted. Sometimes, it feels as if they can only be completed sensibly with one specific playstyle, as other approaches are significantly more challenging. Approaching New Players: The game also disrespects players new to Souls games. At many points, it assumes the player already knows the mechanics characteristic of the genre. The game's systems are poorly explained, and many things have to be discovered through trial and error. The franchise's popularity is largely based on its reputation for exceptional difficulty. In practice, however, a significant portion of this difficulty stems from design issues. Unclear combat, camera issues, and inconsistent design decisions make the game challenging not because the enemies are well-designed, but because certain game elements make it difficult to play comfortably. The spawn point system is a good example of inconsistent design. Sometimes, a bonfire is located directly in front of the boss arena, with a statue allowing you to respawn even closer. In other situations, each death requires a long journey from the bonfire to the boss gate. With more difficult enemies, such as Malenia and the Blade of Miquella, this means that a significant portion of the time isn't devoted to the fight itself. Instead, the player runs back to the arena and reapplies buffs before the fight. As a result, up to a quarter of the time spent on a boss can simply consist of repeating the same path. Summary: Elden Ring is a game full of contrasts. On the one hand, it offers a beautiful world, interesting lore, and vast character building opportunities. On the other hand, it suffers from obvious design issues, such as camera work, repetitive enemies, and inconsistent combat design. It's not a bad game, but it's definitely not as flawless as some reviews suggest. Some players elevate it to a pedestal. This is mainly due to the reputation of the FromSoftware studio, and not necessarily due to the actual quality of all the game's elements. It's a title that manages to delight with its vision of the world, but at the same time, it can also be very frustrating at times.","story;
graphics;
combats;
",combat; graphics; controls; story; other,combat; story; graphics; controls; other,"combat, story, graphics, control","combat, graphics, story, controls, other"
1145360_213762549,Hades,I really like the game the only game I want to get 100% achievements I enjoy the grind and the story of the game very solid game play loop looking forward to see what hades 2 has stored for us,"story; 
other",story,story; other,"combat, story","story, other"
1245620_224945997,Elden Ring,i use to play this game on xbox 2024 3 months befere kai was going to do the stream and i got everthing on the game this game made me love gaming again suck a wonderfull expireice,other,other,other,story,other
1245620_219636674,Elden Ring,"I have played this game a lot, both with and without mods. I'll be blunt: it's a good game overall, but it has a lot of things dragging it down. Some say it's a 10/10 game, but I disagree. First of all, the biggest issue with this game, is input reading. Enemies and bosses don't react to what you do, they react the moment you press a button, before your action has even started. The enemy in Fort Gael is a good example: I try to shoot it with a crossbow, but it evade the moment I press the button, wether I'm aiming at it or not. This is dumb. -1 point. Next is wind-up attacks and tracking: a lot of bosses and enemies have ridiculous wind-ups that mess up dodge timing and ruins the rythm of the fight. And if you try to reposition to avoid it completely, they will simply turn around 180 degrees and hit you with that attack anyway. This is cheap, not difficoult. -1 point. Then there is the game balance: it feels like they spent less than 10 minuttes to balance this game. In a lot of late game areas, enemies are just basic scrubs that do nothing, while a mid game area might have enemies that will utterly destroy you regardless of stats and defence. Bosses also do WAYYYY too much damage in proportion to how often they attack and how long their combos are. They get to kill me in 2-3 hits while being able to chain 3-7 attacks in a row, while I'm lucky to land 1 single hit before they jump away from me and just stare at me from the other side of the area. This is utterly stupid. -2 points. Next is the ability to respec, upgrade weapons, and change builds: this is hopeless.... the game is incredibly stingy with upgrade materials, and even if you obtain the bellbearings, the mats get increasingly expensive. You need a total of 12 of each basic smithingstone to max a weapon, from lvl 1 stones to lvl 9 stones. And lvl 8 stones cost 30 000 runes a piece, just to give an example. This discourages experimentation in a game with over 100 weapons. Respecing is also limited, as there is a fixed amount of larval tears you can obtain in a single playthrough. This can hardlock you to stick with the same build through the whole game. -2 points. Now we are down to 4/10. Now lets add the good things: The world is big, with lots of things to discover around every corner. Everything from weapons, mats and spells, to catacombs, castles and dungeons. Exploration is very rewarding. +2 points. Buildvariaty: if we look away from the horrible upgrade system, there is a lot of different ways to build your character. You can go pure meele, or pure spell/incantation builds, or heavily focus on status buildup, or make a combination of either of them, and much more. +1 point. Encounters: there are many npcs to stumble upon in this game, most of wich leads to new side quests or detours, or even new areas. Some are missable, wich can lead to missing out on certain questlines or items, but this isn't really a problem. The npcs of this game are fairly interesting, and some will even fight alongside you at certain bosses if you summon them. +1 point. Now we are at 8/10. There is a lot more that drag this game both up and down, but these are my takes. Personally I give the game a 7/10. It's an overall good game, especially with certain mods, but it can be really frustrating at times, and I can't really think of anyone I would ever recommend this game to. I had my fun, along with much frustration. Edit: Steam doesn't ask if the game is good, Steam ask if I would recommend it. I would not, unless it is with mods.","combat；
graphics;
other",combat; controls; story; other,combat; controls; other,"combat, story, controls","combat, graphics, story, controls, other"
1091500_222216766,Cyberpunk 2077,"Amazing game, this one is an all-timer. If you've played it, you know. If you haven't, stop reading this review and play it.",other,other,other,other,other
413150_220099069,Stardew Valley,if you want a game that you can put alot of hours in and still have fun this is the game for you and it may be 14 dollars but on mobile it is like 5.99 so please buy it is so good,price,price,price; other,"combat, price",price
1145360_222998831,Hades,"i think this game is good? after replaying it for a few hours after years, i noticed how artificial the difficulty is. for example, my first run ended at the snake, but my second run - with very little upgrades or special boons - was much easier. like i literally just did more damage than previously. i got to elysium, i assume early, and i just hit a wall where i could do no damage unless i was actively making use of the arena mechanics",combat；,combat,combat; other,combat,combat
1237970_208406299,Titanfall 2,"This game delivers a thrilling shooter experience with some of the best movement mechanics around. The wall-running feels tight and responsive, the double jump adds great vertical freedom, and the gunplay is smooth and precise. A true blast to play.",controls,combat; controls,combat; controls,"combat, controls","combat, controls"
