review_id,game,review_text,aspect_labels
1551360_222174467,Forza Horizon 5,"Really enjoying Forza Horizon 5 so far. The graphics are beautiful, driving feels smooth, and there’s a huge variety of cars and events to keep things fun. It can feel a bit overwhelming at first, but overall it’s a great racing game. Definitely recommend.",graphics; controls
413150_220615640,Stardew Valley,"Stardew Valley is easily the best ""cozy game"" I've ever played. The gameplay loop is enjoyable and I'm not afraid to admit that I've pulled a lottt of all-nighters playing the game. I really love some of the NPC's you can interact with (I HAVE to befriend Willy every run, it's a must), and I have a lot of fun trying to plan stuff season-per-season. I haven't played the game in a long while now, but I'm still writing a review because I feel like it deserves it.",story
413150_220421137,Stardew Valley,"Have this game on Switch and PC. Love it!!!!! Music, pacing and gameplay is awesome. Just a very cozy farming game that reminds me the time I played Harvest Moon.",other
413150_219666672,Stardew Valley,"I love this game so much. It has hours and hours of gameplay and things to discover. And it can adapt to many playstyles. Personally, I like the farming and building relationships aspects of the game, but for others there is exploration and fighting available too. Its very intuitive and cute and I recommend it for everyone to play!!",story; combat
413150_218599745,Stardew Valley,i love it even tho i play it with mods but i love it and most the things about it and the story,story
1237970_216424787,Titanfall 2,"When a game achieves this level of reactivity and addictiveness, it will never be dead or boring. I love the story, the gameplay, the script, and BT-7274. Well worth the price and would buy again in a heartbeat! ♥♥♥","story, price, controls"
1551360_223780862,Forza Horizon 5,"beautiful game and very fun to play, i have very decent fps on my pc and never had any issues",graphics; other
413150_224447631,Stardew Valley,"A beautiful, imaginative game for calm people. It's literally a game you can spend hours playing without even realizing how old you are. If you love farming games and peaceful atmospheres, trust me, you won't regret it. It's a fantastic game with a beautiful world.",graphics; other
1245620_217820234,Elden Ring,The best game in history. It deserves the score it got. Don't hesitate to play this masterpiece. It's something you'll rarely see in the art of video games. Don't get tired of Miyazaki and the creative team.,other
413150_219544210,Stardew Valley,"Cozy game at its finest, a must own on mutiple devices kind of thing, and mods make it every more expansive and never ending.",other
1245620_219280294,Elden Ring,"Elden Ring is one of those games that was elevated to fame even before its release. From Software, creators of the Dark Souls series, the game was billed as an extension of the familiar open-world formula. However, the end result is more complex. It's a game with many great ideas, but also with distinct design issues that often impact gameplay. Character Development System: One of the game's greatest strengths is the sheer variety of builds. Players can develop their characters in many ways, from the classic warrior with heavy weapons, through quick, arcade-based builds, to powerful magic-based characters. The development system offers significant freedom and encourages experimentation. However, the problem arises during gameplay. Quite often, a build that previously worked very well suddenly ceases to be effective. At some point, we hit a wall, and enemies or bosses become significantly more difficult for a given playstyle. As a result, instead of developing a character according to their own vision, the player begins to adapt to the demands of specific battles. Visuals and Game World: From an artistic perspective, the game looks excellent. The world is vast, diverse, and full of distinctive locations, and each region has its own unique atmosphere and visual identity. The world's history, co-created by George R. R. Martin, is also noteworthy. The lore is engaging and intriguing, though much of the plot remains hidden within item descriptions and dialogue fragments. For some, this is a key element in the world's mystery, while for others, it's a barrier to understanding the story. Camera Issues: The game's biggest flaw is the camera. This is where most frustrating situations arise. During combat, you can lock the camera onto a target. In theory, this is supposed to aid in tracking the opponent, but in practice, it often leads to chaos. The camera can get lost, suddenly change position, or be positioned at an awkward angle. As a result, the player cannot see enemy attacks, nor even their own character. The problem is particularly acute with large enemies. The camera can then position itself so close to the boss model that it's difficult to assess the situation on screen. Attempting to play without target lock also doesn't solve the problem, as the camera can still move on its own and doesn't always stay where the player intended it to be. In practice, this means that some deaths aren't due to player error or combat difficulty, but rather to technical and design issues. Repetitive Enemy and Boss Characters: Another drawback is the enemy design and the repetitive nature of many fights. In many places, the copy-and-paste method is evident. A boss, who we previously fought in a spectacular fight, later reappears as a regular enemy in a different location. This weakens the sense of uniqueness of the encounters and makes some moments less impactful. Battles can be spectacular, but that doesn't always mean they're well-designed. Some encounters feel heavily scripted. Sometimes, it feels as if they can only be completed sensibly with one specific playstyle, as other approaches are significantly more challenging. Approaching New Players: The game also disrespects players new to Souls games. At many points, it assumes the player already knows the mechanics characteristic of the genre. The game's systems are poorly explained, and many things have to be discovered through trial and error. The franchise's popularity is largely based on its reputation for exceptional difficulty. In practice, however, a significant portion of this difficulty stems from design issues. Unclear combat, camera issues, and inconsistent design decisions make the game challenging not because the enemies are well-designed, but because certain game elements make it difficult to play comfortably. The spawn point system is a good example of inconsistent design. Sometimes, a bonfire is located directly in front of the boss arena, with a statue allowing you to respawn even closer. In other situations, each death requires a long journey from the bonfire to the boss gate. With more difficult enemies, such as Malenia and the Blade of Miquella, this means that a significant portion of the time isn't devoted to the fight itself. Instead, the player runs back to the arena and reapplies buffs before the fight. As a result, up to a quarter of the time spent on a boss can simply consist of repeating the same path. Summary: Elden Ring is a game full of contrasts. On the one hand, it offers a beautiful world, interesting lore, and vast character building opportunities. On the other hand, it suffers from obvious design issues, such as camera work, repetitive enemies, and inconsistent combat design. It's not a bad game, but it's definitely not as flawless as some reviews suggest. Some players elevate it to a pedestal. This is mainly due to the reputation of the FromSoftware studio, and not necessarily due to the actual quality of all the game's elements. It's a title that manages to delight with its vision of the world, but at the same time, it can also be very frustrating at times.","combat, graphics, story, controls, other"
1145360_213762549,Hades,I really like the game the only game I want to get 100% achievements I enjoy the grind and the story of the game very solid game play loop looking forward to see what hades 2 has stored for us,"story, other"
1245620_224945997,Elden Ring,i use to play this game on xbox 2024 3 months befere kai was going to do the stream and i got everthing on the game this game made me love gaming again suck a wonderfull expireice,other
1245620_219636674,Elden Ring,"I have played this game a lot, both with and without mods. I'll be blunt: it's a good game overall, but it has a lot of things dragging it down. Some say it's a 10/10 game, but I disagree. First of all, the biggest issue with this game, is input reading. Enemies and bosses don't react to what you do, they react the moment you press a button, before your action has even started. The enemy in Fort Gael is a good example: I try to shoot it with a crossbow, but it evade the moment I press the button, wether I'm aiming at it or not. This is dumb. -1 point. Next is wind-up attacks and tracking: a lot of bosses and enemies have ridiculous wind-ups that mess up dodge timing and ruins the rythm of the fight. And if you try to reposition to avoid it completely, they will simply turn around 180 degrees and hit you with that attack anyway. This is cheap, not difficoult. -1 point. Then there is the game balance: it feels like they spent less than 10 minuttes to balance this game. In a lot of late game areas, enemies are just basic scrubs that do nothing, while a mid game area might have enemies that will utterly destroy you regardless of stats and defence. Bosses also do WAYYYY too much damage in proportion to how often they attack and how long their combos are. They get to kill me in 2-3 hits while being able to chain 3-7 attacks in a row, while I'm lucky to land 1 single hit before they jump away from me and just stare at me from the other side of the area. This is utterly stupid. -2 points. Next is the ability to respec, upgrade weapons, and change builds: this is hopeless.... the game is incredibly stingy with upgrade materials, and even if you obtain the bellbearings, the mats get increasingly expensive. You need a total of 12 of each basic smithingstone to max a weapon, from lvl 1 stones to lvl 9 stones. And lvl 8 stones cost 30 000 runes a piece, just to give an example. This discourages experimentation in a game with over 100 weapons. Respecing is also limited, as there is a fixed amount of larval tears you can obtain in a single playthrough. This can hardlock you to stick with the same build through the whole game. -2 points. Now we are down to 4/10. Now lets add the good things: The world is big, with lots of things to discover around every corner. Everything from weapons, mats and spells, to catacombs, castles and dungeons. Exploration is very rewarding. +2 points. Buildvariaty: if we look away from the horrible upgrade system, there is a lot of different ways to build your character. You can go pure meele, or pure spell/incantation builds, or heavily focus on status buildup, or make a combination of either of them, and much more. +1 point. Encounters: there are many npcs to stumble upon in this game, most of wich leads to new side quests or detours, or even new areas. Some are missable, wich can lead to missing out on certain questlines or items, but this isn't really a problem. The npcs of this game are fairly interesting, and some will even fight alongside you at certain bosses if you summon them. +1 point. Now we are at 8/10. There is a lot more that drag this game both up and down, but these are my takes. Personally I give the game a 7/10. It's an overall good game, especially with certain mods, but it can be really frustrating at times, and I can't really think of anyone I would ever recommend this game to. I had my fun, along with much frustration. Edit: Steam doesn't ask if the game is good, Steam ask if I would recommend it. I would not, unless it is with mods.","combat, graphics, story, controls, other"
1091500_222216766,Cyberpunk 2077,"Amazing game, this one is an all-timer. If you've played it, you know. If you haven't, stop reading this review and play it.",other
413150_220099069,Stardew Valley,if you want a game that you can put alot of hours in and still have fun this is the game for you and it may be 14 dollars but on mobile it is like 5.99 so please buy it is so good,price
1145360_222998831,Hades,"i think this game is good? after replaying it for a few hours after years, i noticed how artificial the difficulty is. for example, my first run ended at the snake, but my second run - with very little upgrades or special boons - was much easier. like i literally just did more damage than previously. i got to elysium, i assume early, and i just hit a wall where i could do no damage unless i was actively making use of the arena mechanics",combat
1237970_208406299,Titanfall 2,"This game delivers a thrilling shooter experience with some of the best movement mechanics around. The wall-running feels tight and responsive, the double jump adds great vertical freedom, and the gunplay is smooth and precise. A true blast to play.","combat, controls"
1237970_221191578,Titanfall 2,"Believe the hype, this game is the best thing sliced bread! Don't let the movement mechanics scare you, Respawn did amazing with the controls and feeling of the whole game - ♥♥♥♥♥ buttery smooth, can't get good stuff like this anywhere else! The single-player AND multiplayer of this game is absolutely the GOAT, hands down. Anyone who says its not simply hasn't played it, and here's a little secret for multiplayer - the games still fun even when you lose, you're saddened by the fact that the match is over - winning or losing is an afterthought. Between the Titans and movement mechanics, the perfect story mode, you'll be surprised that ""it all just works"" and realize this game is lightning in a bottle. No exaggeration, add about 1,600+ hours to time played at time of review - I got this on Xbox when it came out so I'm guessing based off time I spent on games here on Steam. Could probably double that if the DDOS attack on the servers bullspit hadn't gone on for a couple years...",story;controls;combat
1245620_219363858,Elden Ring,"BEST GAME LORE AND STYLE AND DEPTH, and I've played almost every RPG related game since Nintendo. 4 years later i'm still coming back for more!",other
1091500_221952131,Cyberpunk 2077,"It took me a while to get into the game, but once I did and started getting some upgrades and getting into the story I've been loving it. I also cross save the game to my Switch 2 and back to my pc.",story
1145360_206777063,Hades,"The game never really catched me in the beginning, but when hades 2 came out I decided to try this one first and oh boy was I suprised to see how good it actually is. Finally a roguelike where it is not only the grind but a very nice and genuinely good story. The conversations are actually written as if they could really happen, not like most games. The Love for details in this Game one of my favorite upsides, because there is always something new to discover. The narrator is such a gift and makes the immersion even better. For an indie game, this game has a lot of potential and one can see that there are some thoughts behind a lot of aspects. Try it out, there is a reason why it got popular so quickly.",story
1237970_208927007,Titanfall 2,"One of the best single-player campaigns of all time, and the multiplayer is a ton of fun. Unfortunately, EA exists",other
1245620_220589683,Elden Ring,"YOU DIED. AGAIN. SORT OF. (with a horse and fancier clothes, spells and weapons and cool visuals and better mechanics. a let-down final boss design. great DLC. and a tubers-lore goldmine)",combat
1245620_225096870,Elden Ring,Came in. Got called maidenless. Killed the bastard. Learn you needed him to access a location otherwise you have to finish almost the entire game. No regret for killing ♥♥♥♥. 10/10 Would kill the guy again.,combat
413150_226193401,Stardew Valley,"Cute, but I personally found it to be extremely boring. Also controls like crafting are extremely unintuitive with no textual explainers unless you go hunting for them.",controls
413150_225678329,Stardew Valley,"Amazing game, had played it before on xbox and on my phone but its really more comfortable to play on keyboard, it was designed with that it mind and it is pretty clear. Chill game to just relax for a while, and the soundrack really helps you relax and just forget about everything else",other
1551360_199411647,Forza Horizon 5,Unskippable cutscenes. Unskippable DLC/currency adverts. Unskippable cringe story. Unskippable menu dialogue that stops any and all input. And when I'm playing with friends I spent more time loading than actually racing.,story;graphis
1245620_218811883,Elden Ring,"First souls-like game I have ever played and I loved it!! Take me quite some time to finish both the base game and DLC since I loved exploring the hole map finding and defeating every boss o mini-boss, there were no optional ones for me. The music and the visual art are amazing. Yes the engine feels outdated but accomplishes what a game must to be a master piece, and that's to be fairly challenging (this is quite challenging actually), rewarding and fun to play. Best game I have played in the decade",graphics
1091500_225040786,Cyberpunk 2077,I played it years later after it's launch and it still was buggy but it's still a great game with a good story and interesting gameplay.,story
1091500_224835206,Cyberpunk 2077,"God I could write a novel on my mixed feelings on this one - approaching 6 years of 2077 here, good lorde. Few games had me as hyped as Cyberpunk 2077. From its 2015 reveal to the delayed 2020 launch, I was completely locked in, in 2015 I basically discovered the cyberpunk genre through the world Mike Pondsmith created. It felt like the perfect middle ground between overdone fantasy and surface-level sci-fi. This was the only game I have ever preordered. I played it at launch on PC and, despite bugs like T-posing, broken AI, and weird visual glitches, I still enjoyed my first run. A lot of the bigger issues felt fixable, and I was more excited for what the game could become. Things like deeper RPG systems, meaningful AI, gang dynamics, and customization all felt like they were coming later. That is where the disappointment really sets in. Even now in 2026, after patches and Cyberpunk 2077: Phantom Liberty, it never became the RPG it was presented as. If you were (like me) expecting something closer to The Witcher but in a cyberpunk setting, this is not that. And yet I have played through it six+ times. Because what is here is still incredible. Night City is one of the most detailed and immersive worlds ever made. Just driving around, watching the skyline, and existing in that space is unmatched. It honestly feels like the scale and ambition of the world came at the cost of the systems meant to support it. Amazing world, unforgettable vibe, but a missed RPG opportunity, and they clearly knew it from how they focused on all its positives in Phantom Liberty.",story
1551360_199239700,Forza Horizon 5,Just bought this game for the first time and it crashed 4/4 times during the intro races. Super annoying and disappointing.,other
413150_221098365,Stardew Valley,"Stardew Valley. It was a game I turned to when I lost the passion I once held for my college degree. The game that returned me to my roots, to a time when I was a child playing Harvest Moon: Friends of Mineral Town on my GameBoy Advance. A time when farming was a way for me to feel productive, when the term ""job"" was yet foreign to me. And now, as an adult 20 years later, I get to enjoy that time with a game that continues to provide for the community, with new updates, new farms, new pets, and so much more than I could have imagined on my own. And my 800+ hours will only grow further as the next 20 years pass. Thank you, ConcernedApe, for bringing back such wonderful memories and helping me relive them every time I play.",other
1091500_222996143,Cyberpunk 2077,Rawr! X3 OwO what's this? *notices ur chrome* let's have a lil looksee here! Nyet ur bwood woud look so CUTE on mwy sweater >w< u woudn't mind tho woud u??? ^w^ o no ur dying?? it ok!!! no need to panic i fix it fow youw! UwU,combat
1245620_221658191,Elden Ring,"Played over 90 minutes. Everyone you encounter kills you, died on average every 3-5 minutes. Interface is not partiularly intuitave on PC, better with XBox Controller. Graphics are somewhat basic, washed out with no deail and don't comare with the likes of Assassins Creed or other similar RPG games. Super frustrating gameplay. I really don't undestand how anyone could care enough to spend much time with it or how on earth it became ""Critially acclaimed"". Very dissapointed and I was really hoping to enjoy this title from the trailers.",combat;graphics;controls
1237970_221931866,Titanfall 2,cool big robot and big booms and big guns and big die and good multiplayer and good campaign and good effects and good graphics and good concept and bad company,combat;graphics
1245620_219691030,Elden Ring,"legit one of my top 3 games. the last time i felt this sort of wonder and intrigue into a world, where i would spend hours looking in every nook and cranny was when i played zelda ocarina of time and twilight princess as a kid. in those games, you might get some currency or resources for your troubles, maybe a heart piece, but here you might find a weapon or spell that could define your entire build. a cave in oot might take you to a little room with a chest and also that one cow on death mountain, here itll be an entire little dungeon, with unique loot to find. i wish fromsoft stuck around with this game a bit longer, as some elements of the world are so intriguing but left so unexplained. i know theres the tarnished edition coming out, but as far as i know its a small content pack. a full dlc devoted to godwyn and those who live in death wouldve been cool, but what we have is already phenomenal",graphics
1551360_217153352,Forza Horizon 5,the best graphics i ever seen in any car game i hope in FH6 it should more enhanced and give us more realastic feel also my opinion is add formula section cars and track races there ara lots of formula fans and you can improve more physics,graphics
1091500_225192261,Cyberpunk 2077,Its magnificent to see how far games have come since the 80's. This epic number is just like being in a movie! Another time eater of a glorious game. Defo get this in ye collection!,other
1091500_224236095,Cyberpunk 2077,"A game where reality runs on unstable code, and you’re never sure if what you’re seeing is a bug… or an error. Sometimes glitches aren’t mistakes, they’re part of the game experience… until they aren’t. And a bug is never just a BUG. That “glitch” might mean you’re going full cyberpsycho, or it might be part of the gameplay… OR ! yeah, OR!!! It might actually be a FREAKING BUG!!. And you’ll never know which. 10/10. Would go full cyberpsycho again.",other
1237970_205721440,Titanfall 2,This game is very good for beginners because its not all shooting and has unique titans and multiplayer is great also has a very fun campaign,other
1237970_217745675,Titanfall 2,I loved it cuz it's ♥♥♥♥♥♥ TF2 (but to be for real the campaign was fun and multiplayer takes a little too long but it's aight.),other
1237970_216863348,Titanfall 2,"Probably one of the best FPS campaign experiences in steam, might just be the best, the sheer power you feel after getting into your titan is asonishing, one the downsides for me was how short the campaign it seemed like the campaign could have way more but not even 1 second is wasted, one of the things I liked about this game is that it does not add a bunch of crap balony just for the sake for more play hours but is honest with it's small but astonishing stoyline gameplay. The story has thrill in everyway, fun and fast pasted,(that is, if you wanted it to be fast pasted), emotional, all the characters have emotion and live like feeling to them, it a downside that EA is powering the game, this game on sales gets down to I think 4 euro or 6~5 USD, This is probably one of the easiest and best recommendations for a campagn FPS game you can get for that low price. the game is I think 8~9 hours long on the campaign, but for that short time the game feels alot, ALOT, then the amount of time it offers for the story, the storyline of this game is the best ""robot with human"" game you can play till this day. The gun play physics and the hardness is one the main parts of the game, if you don't like shooting games that much this is still recommended for the story. Its a true master piece of a game. (Please keep in mind that I have not played the first TItanfall game and I have not bugged around with the online platform of this game, this review is strictly over the campaign of that game).",story;price
1237970_223405164,Titanfall 2,Iv'e been playing this for around 9-8 years and it is so captivating the story is amazing and the graphics look like its brand new.,story;graphics
413150_221604369,Stardew Valley,"Stardew Valley is one of my favourite games of all time. I've just gotten it on pc, but on other platforms I have achieved perfection and have at least 50-75 hours. This game is amazing from the music to gameplay and the minigames. You can take it at whatever pace you want, and for my most recent playthrough I tried to minmax everything as much as I could which was really fun. I love everything to do with npcs from the heart events to unlocking new dialogue options as you befriend everyone in pelican town (I need Gunther and Marlon as friendable npcs). There is seemingly infinite things to do in this game, and once you somehow run out of content there are so many incredible mods that add to the game which I still have barely explored. Its crazy to think this game has been around for 10 years now and to anyone considering buying this game you absolutely should.",other
413150_219382859,Stardew Valley,It is a relaxing game that is hard to get bored of. There are many ways to enjoy the game and you can truly move at your own pace. I like that this game is fun on your own or also by playing it with friends. This is the only game I have downloaded on my computer and I don't regret it.,other
413150_223468997,Stardew Valley,It's really good and since I'm still starting out i have a long ways to go but recently over some time the game just stop calibrating my mouse clicks. and i would be fine with just using C but accepting quests and switching items in my inventory is a problem,controls
1145360_221934415,Hades,This game solves every issue I have with roguelikes. I am often relieved to die because I get to go back and spend all the stuff I just collected and know my next run will be better because of it. I also love having achievements for using each boon on each weapon and resources that can only be earned once per weapon because it makes me actually want to use them all. I also love seeing how encounters and characters change after you've hit milestones in the game. Like bosses commenting on your past performances and the gods making comments about what boons you've taken.,other
413150_223636010,Stardew Valley,"amazing game, IMO! I really like the atmosphere, and vibe of most of the places in the game. You never really run out of things to do, (at least i dont) and most of the things to do are very fun. Plus, the game runs really well for how bad my laptop is at running most other games haha (sorry if formatting is bad, one of my first times reviewing a game lol)",graphics
1245620_225928292,Elden Ring,"Name: Aidan Carrozzi Location: Danville, CA School: Monte Vista High School Height: 7'0 lanky ass nga GPA: 1.9 Weight: 300lbs Fav Music: Phonk Fav Master(s): Liam and Rishi",other
413150_225079389,Stardew Valley,"Never goes super in depth with its mechanics or balances them well. Not even the start feels that balanced. But it does enough with what it has to keep you playing. It definitely does tickle your bone in your body that likes to explore from time to time (lest you'll probably have to wiki-dive for questions you have). The highlight of the game isn't really the farming. Everything related to crops or animals isn't that rewarding besides easy money. There's maybe a few days of unique content that you'll likely care about, everything else is intermittent. The other skills will probably interest you more if you want more active gameplay. Many say to not do a modded playthrough the first time but I would say honestly give it a shot if the game doesn't interest you in some aspects. I've had way much more fun with faster animations + marriage mod (the marriage candidate pool is limited and the gameplay loop is a bit slow, especially when trying to go through all its content). I probably would've had even more fun with something like SDVE (Stardew Valley Expanded) as it mostly adds on to already existing content. This is a really safe pick if you want to play something low-pressure with your friends so it's also great for that.",other
1091500_221475188,Cyberpunk 2077,got 100 hours on the game and then updates and now i cant run it. good game but it sucks i cant finish it without shilling hundreds on new hardware,other
413150_225722835,Stardew Valley,"I LOVE STARDEW VALLEY 8) I wrote a haiku: From weeds to fiber Ores in furnace turns gold collect, build, gift, townie",other
1237970_213520317,Titanfall 2,"I've played Titanfall 2 for the first time in December 2025 and I was amazed about how well the gameplay, graphics and story was. Even though the game seems to be console-optimised I played with keyboard and mouse which felt really good. Only issue I had was that I could not change the keybindings / toogle to sneak, sprint, etc options - or couldn't find them. Another thing is the playability on Linux which can sometimes be hindered by the EA launcher. It is listed as Gold on ProtonDB but I did have recurring issues starting the game, but when it runs, it runs without issues except multiplayer connection.",graphics;story;controls
1237970_217230420,Titanfall 2,"rating this on the singleplayer campaign because: 1) thats all ive played thus far, and 2) that's what's most likely to stick around in the future. it was a short campaign, but really good. i knew nothing going in other than ""this game has freerunning, its older (game is from 2016, played in jan2026), you can control mechs, and people seem to play it for multiplayer a lot"". it shows its age a bit in several minor ways, but even in 2026, im pretty happy with what i played. the gameplay isnt without its minor qualms, but nothing annoying. mouse was snappy with no acceleration or damping, controls were all responsive, fov was more than enough, game is very efficient on cpu and gpu even with multiple browsers full of tabs in the background. go in blind, maybe play the first game first, for story. I didnt think i'd care about the story at all in this, but coming out, it's what i cared about most. it took me maybe 10-15 hours of non-rushing and sorta screwing around here and there. gunplay is... acceptable. its not bad by any means, but ammo scarcity and encouraging you to play scrappily and swap weapons because there's no ammo of what you've been using, and not remembering ammo or even guns between missions is ass, but wasnt impactful at all. just kind of a minor annoyance in this game. if i had to put a value on this game, specifically for just the singleplayer campaign, i'd say it's worth.... honestly, 10-20 usd, maybe more, depending on your expectations. it WAS very short, but i rarely finish games these days because im so picky, and i actually finished this in two casual evening sessions. not sure if i'd play multiplayer of this. i'll give it a try, but i have some ideas how it'll go.... so yeah: value: 10-20 usd visuals: A, older but very creative sound: A-, very good, some very small wishes gameplay: A, actually fun story: A+, almost cried overall: solid A AGAIN: GO IN BLIND, DONT EVEN WATCH THE TRAILER edit: i just read about the history of tf1, apex, and ea... and dude? ♥♥♥♥ ea SO much. this is, once again, ea just destroying anything they touch. damnit. im upset that this is what's happened, and now im upset that im in on the knowledge that this is what's happened. titanfall fans: i see you, now. you are valid. Stop giving EA money.",controls;story;price
1091500_221264750,Cyberpunk 2077,"Amazing World setup, an atmosphere to die for and wonderful writing, these are the base pillars of this master-fu*kin-piece game.",graphics
1091500_224258164,Cyberpunk 2077,"over a few days I already played this game for the unhealthy amount of 25hours, which truly goes to show how incredible this game is. When it first came out I heard that it was buggy and unoptimized for pcs so I waited for a while and yeah it has definitely gotten way better and it is almost a perfect game for those of us who love open-world game that has beautiful graphics as well as incredible storyline. 9/10 fully recommend buying, haven't tried the Phantom Liberty DLC yet, but planning to buy it as well since it is said to be goated as well",graphics;story
413150_223507263,Stardew Valley,One of my favorite games. Its a fun game that i can play for hours on end and still find new things. It is the perfect cozy game.,other
413150_222913772,Stardew Valley,i have a cat now and i like him. I named him Hammy and he is the sweetest boy. he sleeps on my bed with me.,story
1145360_208866484,Hades,"A very humorous and refreshing take on the Greek pantheon with rock-solid mechanics, flashy visuals and intense and engaging game-play.",graphics
1145360_212591039,Hades,"one of the greatest games ever! oneliners aside, I think Hades really is a refined and distilled essence of Supergiant game - perfected! I've played a whole bunch of their games over the years and title by title, you can see how they've been coming to this formula, super can't wait for HadeII to be fully out !",other
413150_224859730,Stardew Valley,"It's cozy, it's cute and there is SOOO much you can do. You don't have to rush to do things, just take your time and enjoy all the SDV has to offer. The story from what I have played so far is adorable, and you get to even get married and have kids on your farm as well. How flipping awesome!! It is worth every cent spent!",story;price
413150_225007048,Stardew Valley,"I own stardew on all my devices. It's a game that can be relaxing or stressful depending on your game style and pace. I have no negative comments, I love this game.",other
